triple,common material,question,choices,answerKey
"('armrest', 'toddler car seat', 'natural pitching mound')","fabric, foam, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a toddler car seat?
 a) armrest b) natural pitching mound
","{'label': ['a)', 'b)'], 'text': ['armrest', 'natural pitching mound']}",b)
"('ring sling', 'mosquito net', 'stoneware saucer')","metal, nylon, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a mosquito net?
 a) ring sling b) stoneware saucer
","{'label': ['a)', 'b)'], 'text': ['ring sling', 'stoneware saucer']}",b)
"('golf ball', 'pop-up mosquito net', 'clear vase')",plastic,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a pop-up mosquito net?
 a) golf ball b) clear vase
","{'label': ['a)', 'b)'], 'text': ['golf ball', 'clear vase']}",b)
"('bean bag chair', 'cape', 'spring doorstop')",fabric,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a cape?
 a) bean bag chair b) spring doorstop
","{'label': ['a)', 'b)'], 'text': ['bean bag chair', 'spring doorstop']}",b)
"('trash can', 'dental braces', 'war flag')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a dental braces?
 a) trash can b) war flag
","{'label': ['a)', 'b)'], 'text': ['trash can', 'war flag']}",b)
"('CD-ROM', 'moldable splint', 'mid-century modern coffee table')",thermoplastics,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a moldable splint?
 a) CD-ROM b) mid-century modern coffee table
","{'label': ['a)', 'b)'], 'text': ['CD-ROM', 'mid-century modern coffee table']}",b)
"('longbow', 'wrap (clothing)', 'razor blade')","linen, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a wrap (clothing)?
 a) longbow b) razor blade
","{'label': ['a)', 'b)'], 'text': ['longbow', 'razor blade']}",b)
"('measuring cups', 'one-piece toilet', 'natural wicker basket')",plastic,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a one-piece toilet?
 a) measuring cups b) natural wicker basket
","{'label': ['a)', 'b)'], 'text': ['measuring cups', 'natural wicker basket']}",b)
"('sky lantern', 'eco-friendly toothbrush', 'golf ball')",bamboo,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a eco-friendly toothbrush?
 a) sky lantern b) golf ball
","{'label': ['a)', 'b)'], 'text': ['sky lantern', 'golf ball']}",b)
"('bristle hand scrubber', 'fishing line', 'balloon')",nylon,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a fishing line?
 a) bristle hand scrubber b) balloon
","{'label': ['a)', 'b)'], 'text': ['bristle hand scrubber', 'balloon']}",b)
"('sketchbook', 'windsock pole', 'windsock sleeve')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a windsock pole?
 a) sketchbook b) windsock sleeve
","{'label': ['a)', 'b)'], 'text': ['sketchbook', 'windsock sleeve']}",b)
"('basketball backboard', 'natural fiber paint roller', 'running shoes')",metal,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a natural fiber paint roller?
 a) basketball backboard b) running shoes
","{'label': ['a)', 'b)'], 'text': ['basketball backboard', 'running shoes']}",b)
"('static billboard', 'liquid crystal display (LCD) monitor', 'veil')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a liquid crystal display (LCD) monitor?
 a) static billboard b) veil
","{'label': ['a)', 'b)'], 'text': ['static billboard', 'veil']}",b)
"('incandescent lamp', 'shot put ball', 'footless tights')",metal,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a shot put ball?
 a) incandescent lamp b) footless tights
","{'label': ['a)', 'b)'], 'text': ['incandescent lamp', 'footless tights']}",b)
"('bookmark', 'sachet', 'quantum dot display')",paper,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a sachet?
 a) bookmark b) quantum dot display
","{'label': ['a)', 'b)'], 'text': ['bookmark', 'quantum dot display']}",b)
"('besom', 'pipe organ (musical instrument)', 'towel')",wood,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a pipe organ (musical instrument)?
 a) besom b) towel
","{'label': ['a)', 'b)'], 'text': ['besom', 'towel']}",b)
"('button', 'Blu-ray Disc', 'corkboard')","aluminum, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a Blu-ray Disc?
 a) button b) corkboard
","{'label': ['a)', 'b)'], 'text': ['button', 'corkboard']}",b)
"('DVD', 'digging shovel', 'stoneware saucer')","aluminum, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a digging shovel?
 a) DVD b) stoneware saucer
","{'label': ['a)', 'b)'], 'text': ['DVD', 'stoneware saucer']}",b)
"('incandescent light bulb', 'drum (musical instrument)', 'solid concrete block')",metal,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a drum (musical instrument)?
 a) incandescent light bulb b) solid concrete block
","{'label': ['a)', 'b)'], 'text': ['incandescent light bulb', 'solid concrete block']}",b)
"('doorstop', 'magnifying glass', 'contact lens')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a magnifying glass?
 a) doorstop b) contact lens
","{'label': ['a)', 'b)'], 'text': ['doorstop', 'contact lens']}",b)
"('seat belt', 'footless tights', 'walkie-talkie')",nylon,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a footless tights?
 a) seat belt b) walkie-talkie
","{'label': ['a)', 'b)'], 'text': ['seat belt', 'walkie-talkie']}",b)
"('camping chair', 'LaserDisc', 'neckerchief')",aluminum,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a LaserDisc?
 a) camping chair b) neckerchief
","{'label': ['a)', 'b)'], 'text': ['camping chair', 'neckerchief']}",b)
"('disposable respirator', 'blanket', 'flexible bowl scraper')","polyester, polypropylene","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a blanket?
 a) disposable respirator b) flexible bowl scraper
","{'label': ['a)', 'b)'], 'text': ['disposable respirator', 'flexible bowl scraper']}",b)
"('gong mallet', 'safety match', 'vehicle registration plate')",wood,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a safety match?
 a) gong mallet b) vehicle registration plate
","{'label': ['a)', 'b)'], 'text': ['gong mallet', 'vehicle registration plate']}",b)
"('arrow quiver', 'wallet', 'toilet paper')","leather, textiles","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a wallet?
 a) arrow quiver b) toilet paper
","{'label': ['a)', 'b)'], 'text': ['arrow quiver', 'toilet paper']}",b)
"('domino tile', 'mixing spoon', 'balloon sleeve')","plastic, wood","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a mixing spoon?
 a) domino tile b) balloon sleeve
","{'label': ['a)', 'b)'], 'text': ['domino tile', 'balloon sleeve']}",b)
"('jewelry tray drawer', 'highlighter pen', 'matte postcard')","felt, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a highlighter pen?
 a) jewelry tray drawer b) matte postcard
","{'label': ['a)', 'b)'], 'text': ['jewelry tray drawer', 'matte postcard']}",b)
"('spiral notebook', 'sparkling wine bottle', 'sweatband')",metal,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a sparkling wine bottle?
 a) spiral notebook b) sweatband
","{'label': ['a)', 'b)'], 'text': ['spiral notebook', 'sweatband']}",b)
"('yoga mat', 'collapsible tub', 'pedestal sink basin')","PVC","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a collapsible tub?
 a) yoga mat b) pedestal sink basin
","{'label': ['a)', 'b)'], 'text': ['yoga mat', 'pedestal sink basin']}",b)
"('tennis racket', 'balaclava', 'chopsticks')","nylon, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a balaclava?
 a) tennis racket b) chopsticks
","{'label': ['a)', 'b)'], 'text': ['tennis racket', 'chopsticks']}",b)
"('umbrella', 'luggage padlock', 'blanket')",metal,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a luggage padlock?
 a) umbrella b) blanket
","{'label': ['a)', 'b)'], 'text': ['umbrella', 'blanket']}",b)
"('piano hammer', 'moving blanket', 'high bar')",felt,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a moving blanket?
 a) piano hammer b) high bar
","{'label': ['a)', 'b)'], 'text': ['piano hammer', 'high bar']}",b)
"('tennis ball', 'fez (hat)', 'molding (decorative)')",felt,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a fez (hat)?
 a) tennis ball b) molding (decorative)
","{'label': ['a)', 'b)'], 'text': ['tennis ball', 'molding (decorative)']}",b)
"('DVD', 'backboard (basketball)', 'shuttlecock')","aluminum, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a backboard (basketball)?
 a) DVD b) shuttlecock
","{'label': ['a)', 'b)'], 'text': ['DVD', 'shuttlecock']}",b)
"('bean bag chair', 'sleeve', 'frame drum')","nylon, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a sleeve?
 a) bean bag chair b) frame drum
","{'label': ['a)', 'b)'], 'text': ['bean bag chair', 'frame drum']}",b)
"('bicycle seat', 'liquid crystal display (LCD) monitor', 'eraser')",metal,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a liquid crystal display (LCD) monitor?
 a) bicycle seat b) eraser
","{'label': ['a)', 'b)'], 'text': ['bicycle seat', 'eraser']}",b)
"('booby trap', 'kitchen scrubber', 'pumice stone')","metal, plastic, wood","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a kitchen scrubber?
 a) booby trap b) pumice stone
","{'label': ['a)', 'b)'], 'text': ['booby trap', 'pumice stone']}",b)
"('phone holder', 'helmet', 'crayon')","plastic, silicone, rubber","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a helmet?
 a) phone holder b) crayon
","{'label': ['a)', 'b)'], 'text': ['phone holder', 'crayon']}",b)
"('footstool', 'scarf', 'clay pigeon')","cotton, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a scarf?
 a) footstool b) clay pigeon
","{'label': ['a)', 'b)'], 'text': ['footstool', 'clay pigeon']}",b)
"('floor lamp', 'pop-up mosquito net', 'tile floor')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a pop-up mosquito net?
 a) floor lamp b) tile floor
","{'label': ['a)', 'b)'], 'text': ['floor lamp', 'tile floor']}",b)
"('zip fly', 'planar magnetic loudspeaker', 'cricket ball')",metal,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a planar magnetic loudspeaker?
 a) zip fly b) cricket ball
","{'label': ['a)', 'b)'], 'text': ['zip fly', 'cricket ball']}",b)
"('solid rocket', 'harp', 'soccer ball')",metal,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a harp?
 a) solid rocket b) soccer ball
","{'label': ['a)', 'b)'], 'text': ['solid rocket', 'soccer ball']}",b)
"('spear head', 'statue', 'medical scrubs')",metal,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a statue?
 a) spear head b) medical scrubs
","{'label': ['a)', 'b)'], 'text': ['spear head', 'medical scrubs']}",b)
